date,title,count,url,description
2019.04.30.,"자세한 사정은 아까와 같고요..ㅎㅎ질문드릴게요!1. 이것이 없으면 식물의 줄기나 뿌리가 굵게 자라지 못한다. ㅇ성ㅇ2. 지각 변동으로 지층에 만들어진 습곡, 단층, 부정합 등을 말한다. ㅇㅇㅇㅇ3. 이 지질시대에 공룡 등의 파충류가 번성하였다. ㅇㅇㅇ4. 생물이 살았던 당시의 환경을 알려주는 화석으로, ㅇㅇ, 고사리 등이 있다.5. 지구의 역사에서 지각이 만들어진 후부터 역사 시대 전까지의 기간이다. ㅇㅇㅇㅇ6. 지각 변동으로 큰 산맥이 만들어지는 과정을 말한다. ㅇㅇㅇㅇ7. 물체가 전기를 띠었는지 아닌지를 알아볼 때, 사용하는 전기 기구. ㅇ전기(?)8. 전기를 띤 물체를 금속 물체에 가까이 할 때, 전기를 띤 물체와 가까운 쪽에서는 반대 종류의 전기가, 먼 쪽에는 같은 종류의 전기가 유도되는 현상. ㅇㅇㅇㅇㅇ9. 혼합물의 끓는점이나 밀도는 순물질의 ㅇㅇㅇㅇ에 따라서 달라진다.10. 속력이 변하지 않고 일정한 운동. ㅇ속ㅇ운ㅇ프(등속운동 아닌가요 ㅠㅠ)11. 지구의 공전 현상에 의해 별을 바라보는 위치의 차이. ㅇㅇㅇㅇ12. 지구에서 육안으로 본 별의 밝기. ㅇㅇㅇ급(겉보기 등급으로 알고있는데;)13. 어떤 용매에 대한 기체의 ㅇㅇㅇ는 온도가 낮을수록, 압력이 높을수록 크다.(그런데 이게 6글자네요)14. 물보다 밀도가 큰 액체이며, 지방,수지 등의 유기물을 잘 용해한다. ㅇㅇ화ㅇ밀(?아닐수도있어요)더많이있는데 이거까지같이올리면 안될거같아서다음꺼는 1:1로 내공100추가해서 질문하나더올릴게요 ㅜㅜ 죄송해요부탁드려요!!",144,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=110204&docId=326255022&qb=66y87LK0Nw==&enc=utf8§ion=kin.qna&rank=9&search_sort=3&spq=0,$$$$$
2020.06.12.,자유낙하운동,163,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=110204&docId=359411351&qb=66y87LK0OA==&enc=utf8§ion=kin.qna&rank=4&search_sort=3&spq=0,1kg짜리 물체는 9.8N의 중력을 받고 2kg짜리 물체는 19.6N의 중력을 받는데 왜 자유낙하운동을 하면 두 물체가 동시에 떨어지나요?그리고 공기가 있을 때 공기 저항때문에 떨어지는 속도가 다른것이면 쇠를 가공해서 깃털보다 공기저항을 많이 받도록 하면 쇠보다 깃털이 먼저 떨어지나요?내공 100 내공 냠냠 신고
2019.02.19.,5-2 과학 3 물체의 빠르기(3회) 2,35,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=110204&docId=321523695&qb=66y87LK0OA==&enc=utf8§ion=kin.qna&rank=10&search_sort=3&spq=0,5-2 과학 3 물체의 빠르기(3회) 2[과학 76103쪽실험 관찰 4861쪽]문제 (510번)‘초등 i-Scream’◎좋은 답변 부탁드립니다.
2020.05.24.,과학소년  과만사를 이겨라,103,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=110204&docId=354617556&qb=66y87LK0MTA=&enc=utf8§ion=kin.qna&rank=7&search_sort=3&spq=0,드디어 과학소년 5월호가 왔어요 그런대.... 과만사를 이겨라 에서 적혈구?도넛?같은 물체가 나와서 당황했어요. 도대채 뭐지 하는 마음에 지식in에 처음으로 올려봅니다 제발 알려주세요 알려주시면 내공10을 드립니다.
2020.04.20.,눈 멀리 보는거,111,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=110204&docId=353773175&qb=66y87LK0MTA=&enc=utf8§ion=kin.qna&rank=8&search_sort=3&spq=0,제가 하는 일이 컴퓨터보는 일이라 어쩔수 없이 눈이 피로해지거든요. 눈 스트레칭할려고 하는데 멀리 있는 물체를 보라고 하더라구요.근데 어느정도 멀리 있는 물체를 봐야하나요. 예를 들면 몇 미터 앞에 있는 물체를 봐라던가.
2020.02.18.,특수상대성이론 피시방빨리가는법,59,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=110204&docId=347540754&qb=66y87LK0MTA=&enc=utf8§ion=kin.qna&rank=9&search_sort=3&spq=0,가만히있는물체의 관측시점에서 움직이는물체는 그렇지않은물체보다 시간이 느리게가는것처럼보인다고 들었습니다. 그래서 피시방을가다가 문득 저는 특수상대성이론을떠올렸고 친구들이 피시방을 빠르게 가려고 뛰는행동은 무의미하다는걸 깨달았습니다. 그래서저는 초당 30cm의 속도로 움직였고 의외로 제가피시방에 더 늦게도착하게되었습니다.왜인가요? 그리고실제로 시간단축효과도있었을까요? 아 참고로 제친구가 달리기가진짜 빠른데그친구가 달릴때 평소보다 약간 몸이말라보였습니다 이건 길이수축현상으로보면되나요?
2019.11.19.,중2 과학 1단원 배운 물체의 운동에 관한것이잖아요. 놀이 공원의 이름과 놀이 기구의 이름과 그 놀이기구가 어떻게 움직이는 지 기록하고 그 놀이 기구가 우리가 1단원에서 배운 어떤운동을 하는 지를 기록하고 작용하는 힘은 운동방향과 어떤 관계가 있는 지 조사 해야합니다.10개 이상 가르쳐주세요.. ㅜ0ㅜ;;,13,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=110204&docId=340738697&qb=66y87LK0MTA=&enc=utf8§ion=kin.qna&rank=10&search_sort=3&spq=0,$$$$$
2019.01.22.,5-2 과학 ⑶ 실관 60~61쪽 단원 마무리,71,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=110204&docId=319467345&qb=66y87LK0MTI=&enc=utf8§ion=kin.qna&rank=10&search_sort=3&spq=0,5-2 과학 ⑶ 실관 6061쪽 단원 마무리3. 물체의 빠르기◎좋은 답변 부탁드립니다.[과학 ⑶ 실관 60쪽][과학 ⑶ 실관 61쪽]
2019.09.07.,ufo인가요?,73,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=110204&docId=335248692&qb=66y87LK0MTU=&enc=utf8§ion=kin.qna&rank=6&search_sort=3&spq=0,창밖으로 산을보고있는데 동그란비행체 3대가 나란히 날아가는데요 되게 천천히 오른쪽으로 날아가더라구요근데 동그란원형물체 테두리에 막 반짝반짝거리던데 그게 뭘까요?15초쯤보시면 반짝반짝거리는게 뚜렷하게 나옵니다
2018.12.24.,5-2 과학 ⑶ 활동지 [06],59,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=110204&docId=317312766&qb=66y87LK0MTU=&enc=utf8§ion=kin.qna&rank=9&search_sort=3&spq=0,5-2 과학 ⑶ 활동지 [06]3. 물체의 빠르기 [과학(교과서) 8890쪽]② 과학 탐구 ‘초등 i-Scream’[6] 물체의 속력은 어떻게 구할까요?◎좋은 답변 부탁드립니다.
2020.04.16.,수학문제 좀 알려주세요!!,84,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=110204&docId=353251725&qb=66y87LK0MjA=&enc=utf8§ion=kin.qna&rank=5&search_sort=3&spq=0,자유낙하 하는 물체의 낙하거리는 낙하시간의 제곱에 정비례한다.(공기저항은 무시됨) 576피트인 탑의 꼭대기에서 물체가 6초 후 땅에 떨어졌다. 꼭대기에서 4초 후 물체의 위치를 구하시오. 이 문제 어떻게 푸는건가요??
2020.01.07.,염기성에 성질이요,66,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=110204&docId=344253146&qb=66y87LK0MjA=&enc=utf8§ion=kin.qna&rank=6&search_sort=3&spq=0,산성은 물체를 녹이잖아요그럼 염기성은 물체를 어떻게 하나요?내공 20
2019.12.30.,"질문 드립니다36번 도로에서요 어떤 흔들리는 나무가있는데여 사람들이 다 `옆으로 가보면 이상한 것이 길을 막고 있음을 알 수 있다. 이 물체의 정체는 꼬지모라는 나무포켓몬이다. 이 꼬지모는 풀이 아닌 바위타입이어서 돌타입의 공격을 쓰니 잘 알아두자. 한마리 밖에 없으니 잡아두어도 좋다. 참고로 렙은 20이다. ` 라고 하는데,,, 눌렀는데 흔들리기만 해여 어떻게 해야하져? 자세하게 내공 다검",95,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=110204&docId=343643654&qb=66y87LK0MjA=&enc=utf8§ion=kin.qna&rank=7&search_sort=3&spq=0,$$$$$
2019.11.11.,초등5학년 실험관찰 물체의 속력,383,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=110204&docId=340086580&qb=66y87LK0MjE=&enc=utf8§ion=kin.qna&rank=3&search_sort=3&spq=0,비행기의 평균 속력과 제트키의 평균 속력을 비교해서 써야 하는 과제인데요알려주실분요
2017.11.06.,우주 쓰래기는 어떻게 되는건가요 ?,222,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=110204&docId=287884496&qb=66y87LK0MjQ=&enc=utf8§ion=kin.qna&rank=6&search_sort=3&spq=0,지구에서 쓰래기를 모아서 우주로 쏘는 일도 있다고 들었는데우주에서 떠도는 지구에서 발사한 물체들은 지구로 추락하지 않나요?지구중력으로 지구로 떨어지지 않을까요 ?
2018.11.24.,5-2 과학 ⑶ 실험 관찰 52쪽,27,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=110204&docId=315110312&qb=66y87LK0MjU=&enc=utf8§ion=kin.qna&rank=3&search_sort=3&spq=0,5-2 과학 ⑶ 실험 관찰 52쪽3.물체의 빠르기(과학 8485쪽)◎좋은 답변 부탁드립니다. [실관 52쪽]
2017.11.25.,5-2 과학⑶ 86~87쪽/실관 53쪽,41,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=110204&docId=289039916&qb=66y87LK0MjU=&enc=utf8§ion=kin.qna&rank=10&search_sort=3&spq=0,5-2 과학⑶ 8687쪽/실관 53쪽3. 물체의 빠르기◎좋은 답변 부탁드립니다.[실관 53쪽]
2017.10.09.,기상청 태양고도(초6과학)(내공100),116,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=110204&docId=286100326&qb=66y87LK0Mjk=&enc=utf8§ion=kin.qna&rank=3&search_sort=3&spq=0,"초6 여학생입니다.과학 숙제로 태양고도를 측정해야하는데 준비물을 안들고왔어요.기상청에서 태양고도를 볼 수 있다는데 어떻게 보나요?아니면 답변에 9월29일이나 10월 8일 광주광역시 태양고도와 10cm물체의 그림자의 길이를 적어주세요!(시간-930,10:30,11:30,12:30,1:30,2:30,3:30)(조금씩 시간 오차가 있어도 괜찮습니다)질문이 꽤 어려운만큼 내공은100입니다"
2020.07.12.,초6 1학기 과학 4단원 문제,72,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=110204&docId=362339268&qb=66y87LK0MzA=&enc=utf8§ion=kin.qna&rank=3&search_sort=3&spq=0,문제가 나팔꽃의 줄기가 다른 식물이나 물체를 감는 까닭을 써야되는데여. 괄호 안에 알맞은 말을 써넣어야 되여. 까닭은 두가지에요.1. 자신의 몸을 ( ) 하기 위해서2. 높이 올라가서 ( )을 많이 받기 위해서괄호 안에 들어갈 알맞은 말좀 차례대로 알려주세요. 내공 30 겁니다.
2019.03.25.,3-1 과학 ⑵활동지 [6] 1,20,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=110204&docId=323944243&qb=66y87LK0MzQ=&enc=utf8§ion=kin.qna&rank=1&search_sort=3&spq=0,3-1 과학 ⑵활동지 [6] 12 물질의 성질 [과학 3435쪽][6차시] 종류가 같은 물체를서로 다른 물질로 만드는 까닭은 무엇일까요?‘초등 i-Scream’※ 종류가 같은 물체를 서로 다른 물질로 만드는 경우◎좋은 답변 부탁드립니다.
2019.03.25.,3-1 과학 ⑵활동지 [6],21,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=110204&docId=323944048&qb=66y87LK0MzQ=&enc=utf8§ion=kin.qna&rank=2&search_sort=3&spq=0,3-1 과학 ⑵활동지 [6]2 물질의 성질 [과학 3435쪽][6차시] 종류가 같은 물체를서로 다른 물질로 만드는 까닭은 무엇일까요?‘초등 i-Scream’※ 서로 다른 물질로 만든 물체의 좋은 점◎좋은 답변 부탁드립니다.
2018.12.01.,5-2 과학정리학습지 3-2,26,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=110204&docId=315614051&qb=66y87LK0MzQ=&enc=utf8§ion=kin.qna&rank=3&search_sort=3&spq=0,"5-2 과학정리학습지 3-23. 물체의 빠르기 - 2‘초등 i-Scream’[과학 84-87쪽, 실관 52-53쪽]◎ 좋은 답변 부탁드립니다."
2017.04.24.,3-1 과학 56~61쪽[실관 34~37쪽]②,69,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=110204&docId=275366348&qb=66y87LK0MzY=&enc=utf8§ion=kin.qna&rank=6&search_sort=3&spq=0,3-1 과학 5661쪽[실관 3437쪽]②2. 자석의 이용⑴ 자석과 물체◎좋은 답변 부탁드립니다.
2017.04.10.,3-1 과학정리학습지 2-1,61,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=110204&docId=274468160&qb=66y87LK0MzY=&enc=utf8§ion=kin.qna&rank=7&search_sort=3&spq=0,"3-1 과학정리학습지 2-1‘초등 i-Scream’3-1 과학 2. 자석의 이용⑴ 자석과 물체 [과학 6067쪽, 실관 3639쪽] ◎좋은 답변 부탁드립니다."
2020.01.09.,책을 펴고 볼 때 머리로 읽지 않고 눈으로 순식 간에 흘깃 보아도 책내용 이 머리에 일부 새겨집니다.그림책의 경우는 일일이 읽지 않아도 아주 짧은 시간에 순식간에 책장 넘겨도 그림 이미지가 떠오를 수가 있습니다.물론 정상적으로 작동하는 머리의 경우에 한정 하여서 말하는 겁니다.여기서 언급하는 경우는 정상적인 머리를 가진 경우에 만 적용되는 것입니다.눈앞에 순식간에 물체가 나타났다가 순식간에 사라져도 뛰어난 사람은 자세하게 묘사할 수도 있으며 둔한 사람은 그저 눈앞에 뭔가가 왔다갔다라고만 느낄 수도 있습니다.자아 이런 경우에 책장을 넘기며 볼 때도 이런 현상 이 적용될 수도 있을까요?일반적으로는 입술로 책을 읽거나 마음속으로 읽습니다.그러나 머리가 뛰어난 사람은 카메라로 사진 찍듯이 머리에 순식간에 새길 수가 있습니다. 저같이 둔한 사람은 그저 책장 넘기는 모습만 느껴지고 책내용은 전혀 깜깜합니다.대부분의 사람은 저처럼 비슷한가요?아니면 카메라로 순식간에 찍듯이 책내용중 일부는 머리속에 떠오를 까요?이와같은 현상을 이용한 공부법은 무엇이 있을까요?,55,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=110204&docId=344363290&qb=66y87LK0NDA=&enc=utf8§ion=kin.qna&rank=2&search_sort=3&spq=0,$$$$$
2017.11.26.,5-2 과학⑶ 92~93쪽/실관 55쪽,48,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=110204&docId=289123637&qb=66y87LK0NDA=&enc=utf8§ion=kin.qna&rank=5&search_sort=3&spq=0,5-2 과학⑶ 9293쪽/실관 55쪽3. 물체의 빠르기◎좋은 답변 부탁드립니다.[실관 55쪽]
2017.10.15.,과학 거울로 물체의 모습 여러 개 만들기,41,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=110204&docId=286519064&qb=66y87LK0NDA=&enc=utf8§ion=kin.qna&rank=6&search_sort=3&spq=0,거울 각도를 작게 하면 상이 여러 개 생기잖아요그때 개수랑 각도 사이의 규칙을 알고 싶어요예를 들어 3개 생기는 각은 몇도에서 몇도인지다른 개수에서도 구할수있는 일반적인 규칙 좀 알려주세요!.!
2019.02.19.,5-2 과학 3 물체의 빠르기(3회) 1,36,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=110204&docId=321523669&qb=66y87LK0NDg=&enc=utf8§ion=kin.qna&rank=3&search_sort=3&spq=0,5-2 과학 3 물체의 빠르기(3회) 1[과학 76103쪽실험 관찰 4861쪽]문제 (14번)‘초등 i-Scream’◎좋은 답변 부탁드립니다.
2018.12.01.,5-2 과학정리학습지 3-3,25,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=110204&docId=315614198&qb=66y87LK0NTQ=&enc=utf8§ion=kin.qna&rank=1&search_sort=3&spq=0,"5-2 과학정리학습지 3-33. 물체의 빠르기 - 3‘초등 i-Scream’[과학 88-90쪽, 실관 54쪽]◎ 좋은 답변 부탁드립니다."
2017.11.27.,5-2 과학⑶ 94~97쪽/실관 56~57쪽,251,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=110204&docId=289172788&qb=66y87LK0NTY=&enc=utf8§ion=kin.qna&rank=1&search_sort=3&spq=0,5-2 과학⑶ 9497쪽/실관 5657쪽3. 물체의 빠르기◎좋은 답변 부탁드립니다.[실관 56쪽][실관 57쪽]
2016.12.04.,5학년 과학 윰직이는물체의속력측정하기,66,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=110204&docId=265552829&qb=66y87LK0NTg=&enc=utf8§ion=kin.qna&rank=4&search_sort=3&spq=0,내일까지 햐야 되는건데 5학년 2학기 과학 실험관찰에 있는 내용인데 이거 예시로 한번 써주세요 급합니다 밑에 사진보고 세게다 써주면 감사하겠습니다 내공 100 채택○
2018.11.18.,4-2 과학 ⑶ 활동지 [4차시],13,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=110204&docId=314673456&qb=66y87LK0NjI=&enc=utf8§ion=kin.qna&rank=1&search_sort=3&spq=0,4-2 과학 ⑶ 활동지 [4차시]3. 그림자와 거울 (과학 6263쪽)[4] 물체 모양과 그림자 모양이 비슷한 까닭 ‘초등 i-Scream’◎좋은 답변 부탁드립니다. 
2016.11.25.,빠른 시간내에 부탁드려요. 거울을 마주보고 세워놓았을 때의 물체의개수,33,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=110204&docId=264993052&qb=66y87LK0NjU=&enc=utf8§ion=kin.qna&rank=5&search_sort=3&spq=0,만약 거울을 마주보고 세워놓은 뒤 그 사이의 물체를 넣고 보면 몇개처럼 보이고 또 그 이유는 무엇인가요?제발 오늘 12시 전까지 알려주세요.내공 65
2018.05.17.,3-1 과학 4 활동지[4],37,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=110204&docId=301547242&qb=66y87LK0NzY=&enc=utf8§ion=kin.qna&rank=3&search_sort=3&spq=0,3-1 과학 4 활동지[4]4. 자석의 이용‘초등 i-Scream’[4차시]자석을 철로 된 물체에 가까이 가져가면 어떻게 될까요?※ 자석을 철로 된 물체에 가까이 가져가기(과학 7677쪽)◎좋은 답변 부탁드립니다.
2018.05.07.,4-1 과학 4 활동지[3],35,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=110204&docId=300914803&qb=66y87LK0Nzg=&enc=utf8§ion=kin.qna&rank=1&search_sort=3&spq=0,4-1 과학 4 활동지[3]4. 물체의 무게 [과학 7879쪽]‘초등 i-Scream’[3차시] 용수철에 물체를 걸어 놓으면 어떻게 될까요?▣물체의 무게로 인한 용수철의 길이 변화◎ 좋은 답변 부탁드립니다.
2018.11.22.,5-2 과학 ⑶ 활동지 [02],19,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=110204&docId=314989198&qb=66y87LK0ODA=&enc=utf8§ion=kin.qna&rank=3&search_sort=3&spq=0,5-2 과학 ⑶ 활동지 [02]3. 물체의 빠르기 [과학(교과서) 8081쪽][2] 물체의 위치는어떻게 나타낼까요?② 과학 탐구 ‘초등 i-Scream’◎좋은 답변 부탁드립니다.
2018.04.28.,"무거운 물체랑 가벼운 물체랑 둘이 동시에 떨어질때, 무거운 물체가 더 빨리 떨어지는 이유","1,328",https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=110204&docId=300277974&qb=66y87LK0ODA=&enc=utf8§ion=kin.qna&rank=7&search_sort=3&spq=0,"종이랑 50g 공이 동시에 떨어질때, 공이 더 빨리 떨어지는 이유를 알려주세요 (단지 무거워서라는 말은 하지말아주세요) 둘이 떨어질때 공기저항을 뭐가 더 많이 받는지도 알려주세요. 내공 80."
2017.11.03.,초 5 과학 4단원 물체 속력 구하기,55,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=110204&docId=287720361&qb=66y87LK0ODA=&enc=utf8§ion=kin.qna&rank=8&search_sort=3&spq=0,빨리 부탁드립니다
2015.10.12.,5-2 실관 50쪽,62,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=110204&docId=236302890&qb=66y87LK0ODE=&enc=utf8§ion=kin.qna&rank=5&search_sort=3&spq=0,5-2 실관 50쪽 3. 물체의 빠르기 - 좋은 답변 부탁드립니다.
2018.12.02.,5-2 과학 ⑶ 활동지 [03],28,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=110204&docId=315688340&qb=66y87LK0ODI=&enc=utf8§ion=kin.qna&rank=1&search_sort=3&spq=0,5-2 과학 ⑶ 활동지 [03]3. 물체의 빠르기 [과학(교과서) 8283쪽]② 과학 탐구 ‘초등 i-Scream’[3] 물체의 운동은 어떻게 나타낼까요?◎좋은 답변 부탁드립니다.
2015.11.09.,5-2 실관 51쪽,43,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=110204&docId=238181460&qb=66y87LK0ODI=&enc=utf8§ion=kin.qna&rank=5&search_sort=3&spq=0,5-2 실관 51쪽 3. 물체의 빠르기 - 좋은 답변 부탁드립니다.
2015.10.25.,5-2 과학정리학습지 3-1,94,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=110204&docId=237199819&qb=66y87LK0ODM=&enc=utf8§ion=kin.qna&rank=5&search_sort=3&spq=0,"5-2 과학정리학습지 3-1 ‘초등 i-Scream’5-2 과학 3. 물체의 빠르기-1 [과학 80-83쪽, 실관 50-51쪽] 좋은 답변바랍니다."
